plant ID;population;status;fertilisation;plot;nLeaves1;LongestLeaf1_Cm;Glucosinolates1_[µmol/ g dry weight];HsGlucosinolates1;nPathogenSpots1;nHerbivores1;HsHerbivores1;LeafHerbivory1_Cons_[mm²];nPredators1;;;
AL_01;01AL;native;high;P_01;21;31,2;30,004;0,845;21;43;2,112;65;18;;;
AL_02;01AL;native;low;P_02;15;25,2;28,903;0,904;21;25;1,811;35;5;;;
AL_03;01AL;native;high;P_03;26;19,4;26,236;0,795;4;22;2,237;33;2;;;
AL_04;01AL;native;low;P_04;27;22,5;39,199;0,685;10;21;1,872;17;6;;;
AL_05;01AL;native;high;P_05;36;20,5;30,678;0,637;13;14;1,673;70;5;;;
AL_06;01AL;native;low;P_06;24;31,3;35,294;1,095;20;59;1,369;2;7;;;
AL_07;01AL;native;high;P_07;33;26;44,584;0,754;11;24;1,625;38;15;;;
AL_08;01AL;native;low;P_08;22;32,7;32,578;1,130;23;58;1,550;30;6;;;
AL_09;01AL;native;high;P_09;26;29,7;38,875;1,037;18;31;1,868;54;7;;;
AL_10;01AL;native;low;P_10;30;22,5;48,874;0,676;11;22;1,835;5;20;;;
AL_11;01AL;native;high;P_11;22;29,6;20,115;0,519;24;46;1,932;41;11;;;
AL_12;01AL;native;low;P_12;14;29,2;43,986;1,190;9;49;1,193;34;4;;;
T3_01;02T3;native;high;P_01;19;18,3;40,769;1,571;11;15;1,934;0;7;;;
T3_02;02T3;native;low;P_02;22;17,9;52,291;0,759;15;34;1,715;5;9;;;
T3_03;02T3;native;high;P_03;27;25,9;71,849;1,729;5;22;2,027;46;7;;;
T3_04;02T3;native;low;P_04;31;22,5;NA;NA;20;23;1,832;40;4;;;
T3_05;02T3;native;high;P_05;29;19,9;84,553;1,640;4;17;1,758;20;11;;;
T3_06;02T3;native;low;P_06;31;13,9;38,366;1,669;2;21;1,857;12;2;;;
T3_07;02T3;native;high;P_07;29;17,5;25,283;1,437;19;16;1,386;30;9;;;
T3_08;02T3;native;low;P_08;26;24,9;24,855;1,703;20;26;1,718;74;6;;;
T3_09;02T3;native;high;P_09;30;27,1;66,542;1,359;11;29;1,951;23;3;;;
T3_10;02T3;native;low;P_10;24;21,4;30,289;1,525;24;15;1,523;16;4;;;
T3_11;02T3;native;high;P_11;33;31,5;50,359;1,501;11;11;2,098;24;4;;;
T3_12;02T3;native;low;P_12;26;21,4;98,666;1,760;14;39;2,142;19;5;;;
T4_01;03T4;native;high;P_01;25;20;43,776;1,746;7;26;1,392;8;7;;;
T4_02;03T4;native;low;P_02;18;19,2;74,063;1,356;3;16;1,160;7;2;;;
T4_03;03T4;native;high;P_03;38;23,6;65,268;1,480;3;23;1,911;100;2;;;
